time,TWS,TWA,SOG,set COG,actual COG,sail trim,sail twist,rudder
"0,00","5,00","90,00","0,00","0,00","0,00","0,00","0,00","0,00"
"1,00","5,00","90,00","0,13","0,00","0,00","-11,46","2,22","0,00"
"2,00","5,00","90,00","0,43","0,00","0,00","-22,92","3,14","0,00"
"3,00","5,00","90,00","0,95","0,00","0,00","-34,38","3,84","0,00"
"4,00","5,00","90,00","1,49","0,00","0,00","-41,83","3,87","0,00"
"5,00","5,00","90,00","1,87","0,00","0,00","-41,83","3,17","0,00"
"6,00","5,00","90,00","2,10","0,00","0,00","-40,11","2,27","0,00"
"7,00","5,00","90,00","2,21","0,00","0,00","-38,39","1,49","0,00"
"8,00","5,00","90,00","2,26","0,00","0,00","-36,10","1,49","0,00"
"9,00","5,00","90,00","2,28","0,00","0,00","-36,10","1,49","0,00"
"10,00","5,00","90,00","2,28","0,00","0,00","-36,10","1,49","0,00"
"11,00","5,00","90,00","2,28","0,00","0,00","-34,95","1,49","0,00"
"12,00","5,00","90,00","2,28","0,00","0,00","-34,38","1,49","0,00"
"13,00","5,00","90,00","2,27","0,00","0,00","-34,38","1,49","0,00"
"14,00","5,00","90,00","2,27","0,00","0,00","-34,38","1,49","0,00"
"15,00","5,00","90,00","2,27","0,00","0,00","-34,38","1,49","0,00"
"16,00","5,00","90,00","2,27","0,00","0,00","-34,38","1,49","0,00"
"17,00","5,00","90,00","2,27","0,00","0,00","-34,38","1,49","0,00"
"18,00","5,00","90,00","2,27","0,00","0,00","-34,38","1,49","0,00"
"19,00","5,00","90,00","2,27","0,00","0,00","-34,38","1,49","0,00"
"20,00","5,00","90,00","2,27","0,00","0,00","-34,38","1,49","0,00"
