time,TWS,TWA,SOG,set COG,actual COG,sail trim,sail twist,rudder
"0,00","5,00","180,00","0,00","0,00","0,00","0,00","0,00","0,00"
"1,00","5,00","180,00","0,07","0,00","0,00","-11,46","2,22","0,00"
"2,00","5,00","180,00","0,26","0,00","0,00","-22,92","3,14","0,00"
"3,00","5,00","180,00","0,57","0,00","0,00","-34,38","3,84","0,00"
"4,00","5,00","180,00","0,99","0,00","0,00","-45,84","4,43","0,00"
"5,00","5,00","180,00","1,40","0,00","0,00","-57,30","4,95","0,00"
"6,00","5,00","180,00","1,68","0,00","0,00","-68,75","5,42","0,00"
"7,00","5,00","180,00","1,84","0,00","0,00","-80,00","5,85","0,00"
"8,00","5,00","180,00","1,93","0,00","0,00","-80,00","6,25","0,00"
"9,00","5,00","180,00","1,97","0,00","0,00","-80,00","6,63","0,00"
"10,00","5,00","180,00","1,98","0,00","0,00","-80,00","6,98","0,00"
"11,00","5,00","180,00","1,99","0,00","0,00","-80,00","7,32","0,00"
"12,00","5,00","180,00","2,00","0,00","0,00","-80,00","7,64","0,00"
"13,00","5,00","180,00","2,00","0,00","0,00","-80,00","7,95","0,00"
"14,00","5,00","180,00","2,00","0,00","0,00","-80,00","8,24","0,00"
"15,00","5,00","180,00","2,00","0,00","0,00","-80,00","8,53","0,00"
"16,00","5,00","180,00","2,00","0,00","0,00","-80,00","8,81","0,00"
"17,00","5,00","180,00","2,00","0,00","0,00","-80,00","9,07","0,00"
"18,00","5,00","180,00","2,00","0,00","0,00","-80,00","9,33","0,00"
"19,00","5,00","180,00","2,00","0,00","0,00","-80,00","9,51","0,00"
"20,00","5,00","180,00","2,00","0,00","0,00","-80,00","9,51","0,00"
